Number,Subject Label,Clip,Clip Name,Emotion,Emotion Code,Gender,,,,
198,24,002,S024_002,Boredom,2,M,,,,
199,24,003,S024_003,Fear,4,M,,,,
200,24,004,S024_004,Anger,1,M,,,,
201,24,005,S024_005,Disgust,3,M,,,,
202,24,006,S024_006,Unsure,9,M,,,,
203,24,007,S024_007,Boredom,2,M,,,,
204,24,008,S024_008,Intrest,6,M,,,,
205,25,001,S025_001,Happiness,5,F,,,,
206,25,002,S025_002,Unsure,9,F,,,,
207,25,003,S025_003,Sadness,7,F,,,,
208,25,004,S025_004,Fear,4,F,,,,
209,25,005,S025_005,Fear,4,F,,,,
210,25,006,S025_006,Anger,1,F,,,,
211,25,007,S025_007,Disgust,3,F,,,,
212,25,008,S025_008,Unsure,9,F,,,,
213,25,009,S025_009,Boredom,2,F,,,,
214,25,010,S025_010,Intrest,6,F,,,,
215,26,006,S026_006,Happiness,5,F,,,,
216,26,010,S026_010,Sadness,7,F,,,,
217,26,011,S026_011,Sadness,7,F,,,,
218,26,012,S026_012,Sadness,7,F,,,,
219,26,015,S026_015,Fear,4,F,,,,
220,26,016,S026_016,Fear,4,F,,,,
221,26,018,S026_018,Anger,1,F,,,,
222,26,019,S026_019,Anger,1,F,,,,
223,26,020,S026_020,Anger,1,F,,,,
224,26,022,S026_022,Disgust,3,F,,,,
225,26,023,S026_023,Unsure,9,F,,,,
226,26,024,S026_024,Unsure,9,F,,,,
227,26,025,S026_025,Unsure,9,F,,,,
228,26,026,S026_026,Unsure,9,F,,,,
229,26,027,S026_027,Boredom,2,F,,,,
230,26,028,S026_028,Boredom,2,F,,,,
231,26,029,S026_029,Intrest,6,F,,,,
232,27,001,S027_001,Happiness,5,F,,,,
233,27,002,S027_002,Sadness,7,F,,,,
234,27,003,S027_003,Fear,4,F,,,,
235,27,004,S027_004,Anger,1,F,,,,
236,27,005,S027_005,Disgust,3,F,,,,
237,27,006,S027_006,Unsure,9,F,,,,
238,27,007,S027_007,Boredom,2,F,,,,
239,28,020,S028_020,Anger,1,F,,,,
240,28,021,S028_021,Anger,1,F,,,,
241,28,022,S028_022,Disgust,3,F,,,,
242,28,023,S028_023,Unsure,9,F,,,,
243,28,026,S028_026,Boredom,2,F,,,,
244,28,028,S028_028,Intrest,6,F,,,,
245,29,001,S029_001,Happiness,5,F,,,,
246,29,002,S029_002,Unsure,9,F,,,,
247,29,003,S029_003,Fear,4,F,,,,
248,29,004,S029_004,Anger,1,F,,,,
249,29,005,S029_005,Anger,1,F,,,,
250,29,006,S029_006,Disgust,3,F,,,,
251,29,007,S029_007,Unsure,9,F,,,,
252,29,008,S029_008,Boredom,2,F,,,,
253,29,009,S029_009,Intrest,6,F,,,,
254,30,002,S030_002,Happiness,5,F,,,,
255,30,003,S030_003,Sadness,7,F,,,,
256,30,004,S030_004,Sadness,7,F,,,,
257,30,005,S030_005,Sadness,7,F,,,,
258,30,006,S030_006,Fear,4,F,,,,
259,30,007,S030_007,Fear,4,F,,,,
260,30,008,S030_008,Anger,1,F,,,,
261,30,009,S030_009,Disgust,3,F,,,,
262,30,010,S030_010,Unsure,9,F,,,,
263,30,011,S030_011,Boredom,2,F,,,,
264,30,012,S030_012,Intrest,6,F,,,,
265,31,002,S031_002,Happiness,5,F,,,,
266,31,003,S031_003,Sadness,7,F,,,,
267,31,004,S031_004,Sadness,7,F,,,,
268,31,005,S031_005,Anger,1,F,,,,
269,31,006,S031_006,Disgust,3,F,,,,
270,31,007,S031_007,Disgust,3,F,,,,
271,31,008,S031_008,Unsure,9,F,,,,
272,31,009,S031_009,Boredom,2,F,,,,
273,31,010,S031_010,Intrest,6,F,,,,
